epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3782,2.09072,5.07335,1.2771,0,0,0,0,1.43247,4.98103,0.95797,6.545e-05,6.545e-05,6.545e-05
2,48.6981,1.73989,4.8533,1.07371,0,0,0,0,1.30158,4.88985,0.8824,0.000132082,0.000132082,0.000132082
3,72.4676,1.5293,4.58295,0.97244,0,0,0,0,1.29854,4.7291,0.86795,0.00019597,0.00019597,0.00019597
4,96.754,1.53372,4.31697,0.95479,0.03977,0.20985,0.06156,0.03661,1.16846,4.41864,0.85746,0.000257113,0.000257113,0.000257113
5,120.117,1.46455,3.96803,0.92319,0.04126,0.43318,0.09831,0.06287,1.21582,4.11324,0.86603,0.000315512,0.000315512,0.000315512
6,143.363,1.51605,3.67701,0.92342,0.06986,0.70454,0.20593,0.14014,1.29683,3.60276,0.87197,0.000346885,0.000346885,0.000346885
7,166.548,1.49376,3.30113,0.9257,0.71235,0.19941,0.3382,0.24347,1.19407,3.14089,0.86179,0.000339262,0.000339262,0.000339262
8,190.019,1.4355,3.01081,0.91069,0.65625,0.33728,0.43893,0.29563,1.21237,2.55999,0.85418,0.000331639,0.000331639,0.000331639
9,214.263,1.48709,2.72964,0.92161,0.56782,0.34871,0.42203,0.29547,1.07282,2.16836,0.84957,0.000324016,0.000324016,0.000324016
10,239.198,1.42193,2.44599,0.91229,0.49344,0.63127,0.47598,0.34421,1.08539,1.85167,0.8427,0.000316393,0.000316393,0.000316393
11,263.069,1.46011,2.28046,0.91733,0.52105,0.61473,0.52874,0.37304,1.12514,1.77986,0.85113,0.00030877,0.00030877,0.00030877
12,286.607,1.41925,2.14284,0.9009,0.57969,0.60787,0.5626,0.39413,1.10146,1.50997,0.84763,0.000301147,0.000301147,0.000301147
13,310.323,1.39486,1.95008,0.9083,0.63048,0.62877,0.59389,0.43213,1.04701,1.4008,0.84176,0.000293524,0.000293524,0.000293524
14,334.597,1.38129,1.86524,0.91017,0.80867,0.62003,0.66055,0.47201,1.14938,1.28348,0.85078,0.000285901,0.000285901,0.000285901
15,359.843,1.34557,1.77955,0.90618,0.76248,0.6249,0.72566,0.54295,1.08992,1.20698,0.84136,0.000278278,0.000278278,0.000278278
16,384.275,1.29485,1.64299,0.90075,0.74995,0.65553,0.74315,0.55251,1.09059,1.11988,0.83971,0.000270655,0.000270655,0.000270655
17,408.941,1.32359,1.62081,0.91041,0.75179,0.6647,0.75251,0.57156,1.06667,1.08762,0.84056,0.000263032,0.000263032,0.000263032
18,433.659,1.27403,1.48657,0.89481,0.74472,0.68637,0.78629,0.58526,1.08012,1.04946,0.84824,0.000255409,0.000255409,0.000255409
19,457.884,1.26929,1.48331,0.9031,0.84214,0.67196,0.78924,0.58689,1.06702,1.00773,0.84597,0.000247786,0.000247786,0.000247786
20,482.394,1.32185,1.45546,0.90577,0.83295,0.71329,0.79477,0.57144,1.10704,0.97243,0.85703,0.000240163,0.000240163,0.000240163
21,508.592,1.24367,1.37668,0.90114,0.89531,0.67685,0.79864,0.57056,1.11279,0.93149,0.85165,0.00023254,0.00023254,0.00023254
22,533.959,1.33823,1.41555,0.89997,0.86655,0.70502,0.75659,0.56422,1.05058,0.90365,0.84433,0.000224917,0.000224917,0.000224917
23,557.372,1.2553,1.30754,0.9022,0.86835,0.72107,0.79492,0.57855,1.14344,0.89362,0.8492,0.000217294,0.000217294,0.000217294
24,581.139,1.24585,1.27661,0.89535,0.61085,0.86099,0.86449,0.63474,1.09774,0.83422,0.85148,0.000209671,0.000209671,0.000209671
25,604.491,1.26233,1.29523,0.89851,0.65722,0.88193,0.87289,0.64547,1.07994,0.81728,0.84327,0.000202048,0.000202048,0.000202048
26,627.826,1.24551,1.27015,0.89417,0.92697,0.69992,0.82692,0.60007,1.0525,0.79035,0.84895,0.000194425,0.000194425,0.000194425
27,651.219,1.22782,1.17471,0.89622,0.68693,0.88363,0.81586,0.6067,1.08374,0.79282,0.84081,0.000186802,0.000186802,0.000186802
28,674.686,1.22491,1.2013,0.89753,0.73443,0.88262,0.86765,0.6481,1.05091,0.80397,0.84482,0.000179179,0.000179179,0.000179179
29,698.119,1.20827,1.17874,0.88674,0.73489,0.88178,0.87772,0.66246,1.06115,0.78401,0.84467,0.000171556,0.000171556,0.000171556
30,721.443,1.22443,1.20362,0.89127,0.75539,0.88812,0.83986,0.63311,1.06669,0.7747,0.84607,0.000163933,0.000163933,0.000163933
31,744.699,1.21485,1.14244,0.88044,0.67804,0.8869,0.84031,0.61628,1.03314,0.76211,0.84467,0.00015631,0.00015631,0.00015631
32,768.155,1.18623,1.12464,0.88338,0.68526,0.88891,0.8825,0.67002,1.06954,0.73572,0.8454,0.000148687,0.000148687,0.000148687
33,791.424,1.17344,1.07201,0.88916,0.65775,0.89137,0.87701,0.6701,1.05507,0.74147,0.84726,0.000141064,0.000141064,0.000141064
34,814.664,1.18162,1.07805,0.88025,0.70418,0.81928,0.88249,0.65596,1.05264,0.75042,0.84265,0.000133441,0.000133441,0.000133441
35,838.409,1.1877,1.11858,0.88272,0.76809,0.88698,0.88111,0.66493,1.0515,0.72451,0.83919,0.000125818,0.000125818,0.000125818
36,863.794,1.1741,1.08748,0.88381,0.89116,0.81273,0.87874,0.65923,1.03718,0.70292,0.84181,0.000118195,0.000118195,0.000118195
37,887.884,1.19286,1.06192,0.89363,0.90687,0.78711,0.86911,0.65455,1.05132,0.70898,0.84003,0.000110572,0.000110572,0.000110572
38,911.632,1.17331,1.06527,0.87853,0.91696,0.79123,0.87972,0.67126,1.03681,0.71858,0.84373,0.000102949,0.000102949,0.000102949
39,935.269,1.16629,1.0589,0.88562,0.91411,0.80705,0.90284,0.68743,1.02846,0.69995,0.8382,9.5326e-05,9.5326e-05,9.5326e-05
40,960.677,1.15169,1.04601,0.87176,0.78063,0.8914,0.93368,0.71317,1.00705,0.66605,0.83672,8.7703e-05,8.7703e-05,8.7703e-05
41,984.395,1.15281,1.20476,0.8927,0.78412,0.89041,0.92123,0.69427,1.04231,0.69504,0.84023,8.008e-05,8.008e-05,8.008e-05
42,1007.55,1.15578,1.09295,0.88772,0.72562,0.88572,0.88155,0.64984,1.08975,0.73449,0.84428,7.2457e-05,7.2457e-05,7.2457e-05
43,1030.92,1.17363,1.11832,0.87828,0.74192,0.88797,0.88799,0.66708,1.04797,0.71717,0.84064,6.4834e-05,6.4834e-05,6.4834e-05
44,1054.64,1.13339,1.03262,0.8785,0.69756,0.89649,0.88884,0.66412,1.05264,0.71904,0.84064,5.7211e-05,5.7211e-05,5.7211e-05
45,1079.01,1.12811,1.02958,0.88407,0.69986,0.89458,0.88953,0.67073,1.06687,0.71965,0.83852,4.9588e-05,4.9588e-05,4.9588e-05
46,1103.62,1.11259,1.0127,0.876,0.74398,0.88761,0.88998,0.67395,1.0704,0.70697,0.8388,4.1965e-05,4.1965e-05,4.1965e-05
47,1127.58,1.07204,0.99345,0.87266,0.75884,0.88377,0.89007,0.67094,1.06068,0.6995,0.83885,3.4342e-05,3.4342e-05,3.4342e-05
48,1151.78,1.10526,0.99062,0.8749,0.77427,0.88365,0.8914,0.67363,1.04635,0.69739,0.83795,2.6719e-05,2.6719e-05,2.6719e-05
49,1176.36,1.09808,0.99203,0.87314,0.78051,0.87854,0.89121,0.67391,1.04211,0.694,0.83647,1.9096e-05,1.9096e-05,1.9096e-05
50,1200.52,1.10677,0.98161,0.87642,0.78233,0.87773,0.89096,0.67629,1.04455,0.69336,0.83554,1.1473e-05,1.1473e-05,1.1473e-05
